id,predicted
7583,0
7584,0
7585,0
7586,0
7587,0
7588,2
7589,0
7590,2
7591,0
7592,0
7593,0
7594,0
7595,0
7596,0
7597,0
7598,2
7599,0
7600,0
7601,0
7602,2
7603,0
7604,2
7605,0
7606,0
7607,0
7608,2
7609,0
7610,0
7611,0
7612,0
7613,0
7614,0
7615,2
7616,0
7617,0
7618,0
7619,2
7620,0
7621,2
7622,0
7623,0
7624,0
7625,0
7626,0
7627,0
7628,2
7629,0
7630,0
7631,0
7632,0
7633,0
7634,0
7635,0
7636,0
7637,0
7638,0
7639,0
7640,0
7641,0
7642,0
7643,0
7644,0
7645,0
7646,2
7647,2
7648,0
7649,0
7650,0
7651,2
7652,2
7653,0
7654,0
7655,0
7656,2
7657,0
7658,0
7659,0
7660,0
7661,0
7662,0
7663,2
7664,0
7665,0
7666,0
7667,0
7668,0
7669,0
7670,2
7671,0
7672,0
7673,0
7674,2
7675,0
7676,0
7677,0
7678,0
7679,0
7680,0
7681,1
7682,2
7683,0
7684,0
7685,0
7686,2
7687,0
7688,0
7689,0
7690,0
7691,2
7692,0
7693,0
7694,0
7695,0
7696,2
7697,0
7698,2
7699,0
7700,0
7701,0
7702,0
7703,0
7704,2
7705,0
7706,0
7707,0
7708,0
7709,0
7710,0
7711,0
7712,0
7713,0
7714,0
7715,0
7716,0
7717,0
7718,0
7719,0
7720,0
7721,0
7722,0
7723,0
7724,0
7725,0
7726,0
7727,2
7728,0
7729,2
7730,2
7731,0
7732,0
7733,0
7734,0
7735,0
7736,2
7737,0
7738,0
7739,0
7740,2
7741,0
7742,2
7743,0
7744,2
7745,2
7746,0
7747,0
7748,0
7749,0
7750,0
7751,1
7752,2
7753,0
7754,0
7755,2
7756,0
7757,0
7758,2
7759,0
7760,2
7761,0
7762,0
7763,2
7764,0
7765,2
7766,0
7767,0
7768,2
7769,0
7770,0
7771,0
7772,0
7773,0
7774,0
7775,0
7776,0
7777,0
7778,0
7779,0
7780,0
7781,0
7782,2
7783,0
7784,0
7785,0
7786,0
7787,2
7788,0
7789,0
7790,0
7791,0
7792,0
7793,0
7794,0
7795,0
7796,0
7797,0
7798,0
7799,0
7800,0
7801,2
7802,0
7803,0
7804,0
7805,2
7806,0
7807,2
7808,0
7809,0
7810,0
7811,0
7812,0
7813,0
7814,0
7815,0
7816,0
7817,0
7818,0
7819,2
7820,0
7821,2
7822,0
7823,2
7824,0
7825,0
7826,0
7827,2
7828,0
7829,0
7830,0
7831,2
7832,0
7833,2
7834,0
7835,0
7836,0
7837,0
7838,0
7839,0
7840,0
7841,0
7842,0
7843,0
7844,0
7845,0
7846,0
7847,0
7848,0
7849,0
7850,0
7851,0
7852,0
7853,0
7854,0
7855,0
7856,0
7857,0
7858,0
7859,0
7860,0
7861,2
7862,0
7863,0
7864,0
7865,0
7866,0
7867,2
7868,0
7869,0
7870,0
7871,0
7872,0
7873,0
7874,0
7875,0
7876,0
7877,2
7878,0
7879,0
7880,0
7881,0
7882,0
7883,0
7884,0
7885,2
7886,0
7887,0
7888,0
7889,0
7890,0
7891,0
7892,0
7893,0
7894,0
7895,2
7896,0
7897,0
7898,2
7899,0
7900,0
7901,0
7902,0
7903,0
7904,0
